Date,Dividend
15/03/2002,0.331
21/06/2002,0.353
20/09/2002,0.378
20/12/2002,0.436
21/03/2003,0.354
20/06/2003,0.36
19/09/2003,0.4
19/12/2003,0.516
19/03/2004,0.395
18/06/2004,0.414
17/09/2004,0.469
15/11/2004,0.351
17/12/2004,0.568
18/03/2005,0.467
17/06/2005,0.488
16/09/2005,0.522
16/12/2005,0.672
17/03/2006,0.519
16/06/2006,0.555
15/09/2006,0.579
15/12/2006,0.793
16/03/2007,0.551
15/06/2007,0.656
21/09/2007,0.719
21/12/2007,0.775
20/03/2008,0.642
20/06/2008,0.669
19/09/2008,0.691
19/12/2008,0.719
20/03/2009,0.561
19/06/2009,0.518
18/09/2009,0.508
18/12/2009,0.59
19/03/2010,0.48
18/06/2010,0.531
17/09/2010,0.602
17/12/2010,0.653
18/03/2011,0.553
17/06/2011,0.628
16/09/2011,0.625
16/12/2011,0.77
16/03/2012,0.614
15/06/2012,0.688
21/09/2012,0.779
21/12/2012,1.022
15/03/2013,0.694
21/06/2013,0.839
20/09/2013,0.838
